t	x0	y0	x1	y1	x2	y2
3.29	0.745897	-0.510439	1.76079	-0.654772	2.62986	-1.11698
3.3	0.745916	-0.495788	1.74807	-0.623718	2.65077	-1.08664
3.31	0.755161	-0.487843	1.73582	-0.594148	2.67042	-1.05666
3.32	0.771278	-0.486113	1.7286	-0.567461	2.68645	-1.02589
3.33	0.790966	-0.489714	1.73037	-0.544541	2.69723	-0.993591
3.34	0.810927	-0.49764	1.74332	-0.525504	2.70244	-0.95968
3.35	0.828668	-0.508906	1.76706	-0.509656	2.70321	-0.924727
3.36	0.842945	-0.522597	1.79861	-0.495696	2.70202	-0.88987
3.37	0.853761	-0.537811	1.83303	-0.482057	2.70216	-0.856569
3.38	0.861963	-0.553615	1.86462	-0.467301	2.70703	-0.826276
3.39	0.868639	-0.569015	1.88835	-0.450472	2.71927	-0.800097
3.4	0.874536	-0.583002	1.90109	-0.431319	2.74009	-0.778506
3.41	0.879704	-0.594638	1.90234	-0.410356	2.76892	-0.761215
3.42	0.883475	-0.603178	1.89427	-0.388725	2.80341	-0.747208
3.43	0.884763	-0.608163	1.88107	-0.367952	2.83984	-0.734969
3.44	0.88257	-0.609449	1.86781	-0.349644	2.87384	-0.722811
3.45	0.876513	-0.607153	1.85912	-0.335245	2.90128	-0.709225
3.46	0.867196	-0.60156	1.85798	-0.325844	2.91908	-0.693176
3.47	0.856309	-0.593033	1.86503	-0.322062	2.92578	-0.674272
3.48	0.846398	-0.581975	1.8784	-0.323975	2.92176	-0.652789
3.49	0.840332	-0.568826	1.89429	-0.331115	2.9091	-0.629544
3.5	0.840577	-0.554066	1.90799	-0.342568	2.891	-0.605645
3.51	0.848425	-0.538189	1.91519	-0.357176	2.87111	-0.582193
3.52	0.863421	-0.521635	1.91324	-0.373794	2.85269	-0.560015
3.53	0.883173	-0.504725	1.90189	-0.391511	2.83806	-0.539532
3.54	0.903694	-0.487621	1.88344	-0.409771	2.82824	-0.520782
3.55	0.920251	-0.470328	1.86205	-0.428394	2.82301	-0.503572
3.56	0.928561	-0.452746	1.84257	-0.447522	2.82131	-0.487646
3.57	0.926008	-0.434799	1.82911	-0.467519	2.82171	-0.472816
3.58	0.912526	-0.416621	1.82383	-0.488804	2.823	-0.458991
