t	x0	y0	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15
0.37	0.962609	-0.0588478	1.04104	0.935282	1.94063	-0.17298	2.05791	0.818244	2.9303	-0.307383	3.05771	0.682659	3.93045	-0.43963	4.04753	0.551663	4.94036	-0.551701	5.03217	0.442252	5.95668	-0.630172	6.01618	0.36628	6.97355	-0.672796	7.00334	0.325209	7.98614	-0.688045	7.99557	0.311379
0.38	0.961657	-0.0602046	1.04234	0.933546	1.93864	-0.177543	2.06003	0.813042	2.92718	-0.317103	3.06005	0.672088	3.92656	-0.455681	4.04943	0.534807	4.93633	-0.573385	5.03341	0.419901	5.95247	-0.656788	6.0173	0.339282	6.96898	-0.705075	7.00479	0.292584	7.98111	-0.726754	7.99767	0.272612
0.39	0.96076	-0.0612987	1.04364	0.932048	1.93658	-0.181944	2.06228	0.807959	2.92398	-0.326985	3.06238	0.661306	3.92277	-0.471734	4.05111	0.517952	4.93228	-0.594706	5.03459	0.397893	5.94798	-0.68334	6.01853	0.312285	6.96397	-0.737675	7.00641	0.259575	7.97556	-0.766553	7.99993	0.232711
0.4	0.959873	-0.062131	1.04498	0.930772	1.93444	-0.186298	2.0646	0.802877	2.92073	-0.337023	3.06466	0.650347	3.91907	-0.487599	4.05264	0.501268	4.92819	-0.615624	5.03576	0.376293	5.94324	-0.709858	6.01984	0.285219	6.95858	-0.770598	7.00817	0.22619	7.9695	-0.807437	8.0023	0.191664
0.41	0.95895	-0.0627936	1.04637	0.929623	1.93225	-0.190727	2.06692	0.797684	2.9175	-0.347136	3.0668	0.639319	3.91543	-0.503104	4.05408	0.484904	4.92402	-0.63616	5.03697	0.355078	5.93829	-0.736318	6.02122	0.258099	6.95282	-0.803898	7.01004	0.192365	7.96295	-0.849395	8.00474	0.149464
0.42	0.957973	-0.0634676	1.0478	0.928437	1.93003	-0.195328	2.06916	0.792303	2.91438	-0.357172	3.06875	0.62839	3.91181	-0.51814	4.05551	0.468968	4.91971	-0.656359	5.03828	0.334154	5.93313	-0.762684	6.02269	0.230982	6.94671	-0.837654	7.012	0.157994	7.95592	-0.892407	8.0072	0.106104
0.43	0.956945	-0.0643736	1.04922	0.927025	1.92784	-0.200154	2.07125	0.78672	2.91144	-0.366943	3.0705	0.617736	3.9082	-0.532661	4.05698	0.453524	4.91525	-0.676256	5.03971	0.31343	5.92771	-0.788958	6.02431	0.203895	6.94022	-0.871939	7.01408	0.122969	7.94843	-0.936455	8.00963	0.0615836
0.44	0.955878	-0.0656949	1.05058	0.925234	1.92577	-0.205194	2.07312	0.78098	2.90869	-0.376296	3.07213	0.607497	3.90462	-0.546661	4.05848	0.438595	4.91066	-0.695844	5.04126	0.29288	5.92198	-0.815198	6.02614	0.17678	6.93328	-0.906795	7.01627	0.0872176	7.94047	-0.981518	8.01199	0.0159036
0.45	0.954786	-0.0675079	1.05187	0.923004	1.92391	-0.210369	2.07473	0.775173	2.90611	-0.385154	3.07371	0.59775	3.90108	-0.560146	4.06007	0.424168	4.90597	-0.715087	5.04293	0.272554	5.91594	-0.841502	6.02817	0.149509	6.92589	-0.942247	7.01856	0.0507138	7.93206	-1.02757	8.01423	-0.0309344
0.46	0.953691	-0.069745	1.05308	0.9204	1.92229	-0.215548	2.07611	0.769407	2.90371	-0.393525	3.07527	0.588507	3.89756	-0.573112	4.06176	0.410215	4.90118	-0.733949	5.04476	0.252527	5.9096	-0.867962	6.03033	0.121939	6.91808	-0.978305	7.02087	0.0134589	7.9232	-1.07461	8.01632	-0.0789276
