t	x0	y0	x1	y1	x2	y2
1.89	0.196545	0.978551	-0.948194	-0.329588	0.752523	-0.667872
1.9	0.0977653	0.998599	-0.916472	-0.42065	0.817349	-0.591028
1.91	-0.00170483	1.00635	-0.873685	-0.506687	0.871934	-0.507273
1.92	-0.100905	0.999446	-0.818332	-0.586283	0.914191	-0.416657
1.93	-0.198996	0.981623	-0.754212	-0.661068	0.947356	-0.322095
1.94	-0.295683	0.957534	-0.685464	-0.733274	0.975412	-0.226351
1.95	-0.389892	0.926697	-0.611956	-0.801436	0.997147	-0.13022
1.96	-0.479175	0.884816	-0.530937	-0.860589	1.00722	-0.0337261
1.97	-0.561847	0.830229	-0.441831	-0.907647	1.00311	0.062581
1.98	-0.639046	0.766494	-0.347509	-0.944825	0.988555	0.158252
1.99	-0.712802	0.698017	-0.251252	-0.975959	0.968543	0.253478
2	-0.781937	0.625263	-0.154316	-1.00043	0.942775	0.347771
2.01	-0.841894	0.545855	-0.0567626	-1.01329	0.906328	0.438928
2.02	-0.889779	0.459195	0.0409501	-1.01164	0.856378	0.524798
2.03	-0.928009	0.367952	0.138183	-0.99866	0.795798	0.605688
2.04	-0.960918	0.275106	0.234719	-0.979373	0.729316	0.683237
2.05	-0.988402	0.181358	0.329793	-0.954157	0.658103	0.756531
2.06	-1.00534	0.0860634	0.42118	-0.918713	0.579987	0.821222
2.07	-1.00798	-0.0107436	0.506801	-0.870412	0.494005	0.873887
2.08	-0.998712	-0.108327	0.587149	-0.812181	0.402568	0.915984
2.09	-0.982627	-0.206194	0.664336	-0.748947	0.308939	0.951406
2.1	-0.960652	-0.303565	0.738079	-0.681971	0.214359	0.980471
2.11	-0.928568	-0.398315	0.804292	-0.608644	0.118521	0.998757
2.12	-0.883045	-0.488069	0.859168	-0.527222	0.0215334	1.00284
2.13	-0.826282	-0.572517	0.903669	-0.439584	-0.0758719	0.99516
2.14	-0.763294	-0.653022	0.941843	-0.348916	-0.173292	0.981035
2.15	-0.69613	-0.729123	0.974705	-0.256412	-0.270233	0.961756
2.16	-0.622898	-0.796957	0.998081	-0.1614	-0.364887	0.933113
2.17	-0.542035	-0.852894	1.00768	-0.06364	-0.454928	0.891349
2.18	-0.455315	-0.897969	1.0046	0.0359536	-0.539906	0.838328
2.19	-0.365903	-0.936529	0.993521	0.136298	-0.621334	0.779199
2.2	-0.275037	-0.970142	0.976223	0.236272	-0.699348	0.716214
2.21	-0.181959	-0.994949	0.949317	0.333802	-0.770542	0.647066
2.22	-0.0862397	-1.00646	0.909365	0.426405	-0.83092	0.569216
2.23	0.011332	-1.0055	0.858106	0.513359	-0.880521	0.483717
2.24	0.10984	-0.997077	0.800673	0.595994	-0.922975	0.393848
2.25	0.208592	-0.983628	0.739583	0.674627	-0.959927	0.301498
2.26	0.306048	-0.961879	0.672727	0.746247	-0.987904	0.206426
2.27	0.39985	-0.92747	0.597492	0.807094	-1.00238	0.108387
2.28	0.488795	-0.880886	0.514818	0.857314	-1.00373	0.00833852
2.29	0.573656	-0.826749	0.428002	0.900931	-0.996773	-0.0924327
2.3	0.654731	-0.767973	0.338809	0.940296	-0.98434	-0.192826
2.31	0.729397	-0.702965	0.246457	0.972281	-0.96368	-0.291053
2.32	0.793949	-0.629071	0.150037	0.991793	-0.930633	-0.384663
2.33	0.847935	-0.546871	0.0502913	0.998152	-0.885707	-0.472538
2.34	0.89466	-0.459609	-0.0511765	0.995641	-0.833787	-0.555911
2.35	0.93629	-0.369478	-0.152938	0.987405	-0.778176	-0.635947
2.36	0.970013	-0.276259	-0.253245	0.971108	-0.7172	-0.710786
2.37	0.991034	-0.179453	-0.349775	0.942284	-0.647458	-0.776757
2.38	0.998828	-0.0800755	-0.441179	0.900586	-0.568691	-0.832802
2.39	0.998006	0.020148	-0.52814	0.850383	-0.483873	-0.881811
2.4	0.992282	0.12	-0.611405	0.79525	-0.395419	-0.926297
2.41	0.979626	0.218278	-0.688996	0.734144	-0.303233	-0.964053
2.42	0.955179	0.313169	-0.757184	0.664075	-0.206592	-0.990171
2.43	0.917889	0.403472	-0.814806	0.584954	-0.106331	-1.00309
2.44	0.871878	0.489901	-0.86489	0.5	-0.00441426	-1.00632
2.45	0.821031	0.573583	-0.910494	0.411973	0.0974252	-1.00333
2.46	0.764432	0.653185	-0.949938	0.320918	0.197591	-0.992561
2.47	0.698465	0.725197	-0.978256	0.225964	0.294092	-0.969625
2.48	0.622075	0.787816	-0.993403	0.127756	0.385598	-0.93359
2.49	0.538069	0.843065	-0.998804	0.0281597	0.472737	-0.888639
2.5	0.449618	0.893442	-0.998565	-0.0713575	0.556766	-0.838942
2.51	0.357462	0.93729	-0.991825	-0.169824	0.636667	-0.783866
2.52	0.261154	0.969685	-0.973964	-0.265908	0.709072	-0.719787
2.53	0.161499	0.988306	-0.942879	-0.358434	0.772055	-0.645533
2.54	0.0605307	0.996331	-0.901659	-0.447639	0.827676	-0.564059
2.55	-0.0400756	0.998074	-0.854279	-0.534382	0.879033	-0.478853
2.56	-0.139248	0.993113	-0.800585	-0.617584	0.925271	-0.390594
2.57	-0.23563	0.976974	-0.737331	-0.693882	0.961621	-0.298162
2.58	-0.327972	0.947404	-0.663325	-0.760991	0.984995	-0.201565
2.59	-0.416542	0.907607	-0.581476	-0.820351	0.997642	-0.102504
2.6	-0.502656	0.862173	-0.495535	-0.874668	1.00365	-0.00275739
2.61	-0.58603	0.811486	-0.406632	-0.923088	1.00297	0.0965463
2.62	-0.663793	0.752079	-0.314007	-0.960933	0.991268	0.194214
2.63	-0.733371	0.681925	-0.217893	-0.985126	0.965748	0.289044
2.64	-0.795533	0.603285	-0.120156	-0.998162	0.928905	0.380981
2.65	-0.852764	0.519896	-0.0225432	-1.00486	0.885173	0.470832
2.66	-0.904638	0.433115	0.0742435	-1.006	0.835346	0.557912
2.67	-0.946854	0.342074	0.16966	-0.997325	0.776407	0.63901
2.68	-0.975967	0.246586	0.262918	-0.975366	0.706589	0.711159
2.69	-0.993579	0.148262	0.353973	-0.941947	0.628459	0.774923
2.7	-1.00387	0.0490039	0.443623	-0.901573	0.546226	0.833162
2.71	-1.00755	-0.0501168	0.531507	-0.855555	0.461532	0.886249
2.72	-1.00058	-0.14819	0.614807	-0.800956	0.373292	0.930365
2.73	-0.979568	-0.244054	0.690454	-0.735312	0.280801	0.961807
2.74	-0.946507	-0.337285	0.758351	-0.66034	0.185332	0.981693
2.75	-0.906419	-0.428509	0.8207	-0.579973	0.0886637	0.99434
